 rho:               u1:                 u2:                 u3:
 4.2714286       4.8905409E-07       9.0978494E-05        0.0038640401
 4.2857143       4.3548605E-07       8.2171150E-05        0.0035462316
 4.3000000       3.8759706E-07       7.4173879E-05        0.0032522644
 4.3142857       3.4480420E-07       6.6915953E-05        0.0029805256
 4.3285714       3.0658226E-07       6.0332443E-05        0.0027294963
 4.3428571       2.7245825E-07       5.4363787E-05        0.0024977473
 4.3571429       2.4200645E-07       4.8955372E-05        0.0022839349
 4.3714286       2.1484383E-07       4.4057156E-05        0.0020867973
 4.3857143       1.9062597E-07       3.9623314E-05        0.0019051505
 4.4000000       1.6904329E-07       3.5611906E-05        0.0017378842
 4.4142857       1.4981768E-07       3.1984573E-05        0.0015839585
 4.4285714       1.3269941E-07       2.8706248E-05        0.0014424002
 4.4428571       1.1746434E-07       2.5744896E-05        0.0013122990
 4.4571429       1.0391142E-07       2.3071269E-05        0.0011928046
 4.4714286       9.1860354E-08       2.0658676E-05        0.0010831231
 4.4857143       8.1149580E-08       1.8482779E-05       0.00098251382
 4.5000000       7.1634364E-08       1.6521395E-05       0.00089028667
 4.5142857       6.3185121E-08       1.4754317E-05       0.00080579891
 4.5285714       5.5685886E-08       1.3163152E-05       0.00072845250
 4.5428571       4.9032928E-08       1.1731164E-05       0.00065769142
 4.5571429       4.3133509E-08       1.0443138E-05       0.00059299921
 4.5714286       3.7904759E-08       9.2852458E-06       0.00053389646
 4.5857143       3.3272660E-08       8.2449308E-06       0.00047993862
 4.6000000       2.9171136E-08       7.3107964E-06       0.00043071372
 4.6142857       2.5541229E-08       6.4725051E-06       0.00038584038
 4.6285714       2.2330362E-08       5.7206869E-06       0.00034496582
 4.6428571       1.9491668E-08       5.0468535E-06       0.00030776400
 4.6571429       1.6983398E-08       4.4433209E-06       0.00027393386
 4.6714286       1.4768380E-08       3.9031378E-06       0.00024319772
 4.6857143       1.2813537E-08       3.4200208E-06       0.00021529966
 4.7000000       1.1089454E-08       2.9882941E-06       0.00019000410
 4.7142857       9.5699898E-09       2.6028352E-06       0.00016709443
